oribias,sd,swaprate,guessrate,orientation,subjects,ori_quad,confbias,conf,conresol,confbias_w_swap,orthopoly_L,orthopoly_Q,id 
-1.488,15.473,0.014,0.099,1st,18,1,0.163657692,-0.154957658,0.368974742,0.23375497,-0.5976143,0.5455447,id _18
-1.799,28.735,0.031,0.022,2nd,18,4,-0.068148301,-0.210541363,0.126802839,-0.079528282,-0.3585686,-0.1091089,id _18
1.402,21.705,0.215,0.042,3rd,18,9,0.021298032,0.104465647,0.236391787,0.073577824,-0.1195229,-0.4364358,id _18
-6.558,14.546,0.074,0.277,4th,18,16,-0.018451181,0.000518051,0.026596031,-0.029208466,0.1195229,-0.4364358,id _18
-10.766,27.702,0.059,0.006,5th,18,25,0.078264408,0.287825388,0.195876366,0.023995875,0.3585686,-0.1091089,id _18
-5.148,23.617,0.127,0.155,6th,18,36,-0.17662065,-0.027310064,0.178856352,-0.25387513,0.5976143,0.5455447,id _18
0.162,16.84,0.097,0.01,1st,19,1,0.237561718,0.184349231,0.239861618,0.421628828,-0.5976143,0.5455447,id _19
-1.209,15.693,0.109,0,2nd,19,4,0.013652886,-0.294836926,0.171435323,0.101788307,-0.3585686,-0.1091089,id _19
-1.004,14.251,0.085,0.047,3rd,19,9,-0.079095198,-0.104008048,0.127287412,-0.132522728,-0.1195229,-0.4364358,id _19
-0.18,14.421,0.143,0.02,4th,19,16,0.043849369,-0.013059847,0.366216243,-0.081418485,0.1195229,-0.4364358,id _19
-2.587,14.276,0,0.095,5th,19,25,-0.276005332,-0.004794628,0.225433373,-0.343931735,0.3585686,-0.1091089,id _19
-5.647,16.373,0.016,0.231,6th,19,36,0.060036557,0.232350218,0.338916308,0.051735389,0.5976143,0.5455447,id _19
2.035,14.883,0.434,0.181,1st,20,1,-0.009821182,-0.157196127,0.049693306,-0.015032453,-0.5976143,0.5455447,id _20
11.407,25.234,0.016,0.032,2nd,20,4,-0.040302923,-0.032753516,0.265771861,-0.028162188,-0.3585686,-0.1091089,id _20
4.162,22.431,0.148,0.002,3rd,20,9,-0.146582874,-0.052169872,0.170543549,-0.144923126,-0.1195229,-0.4364358,id _20
-9.072,16.505,0.057,0.11,4th,20,16,0.081522735,0.106937666,0.223577519,0.160601135,0.1195229,-0.4364358,id _20
-7.878,9.658,0,0.353,5th,20,25,0.116711313,0.082746864,0.466391034,-0.037295982,0.3585686,-0.1091089,id _20
-22.111,22.606,0,0.361,6th,20,36,-0.001527069,0.052434985,0.476188134,0.070269106,0.5976143,0.5455447,id _20
3.468,10.91,0.001,0.028,1st,21,1,0.373015452,-0.159236608,0.201192059,0.402209378,-0.5976143,0.5455447,id _21
-2.569,11.114,0.023,0.002,2nd,21,4,0.107707478,-0.14264794,0.095643645,0.130120437,-0.3585686,-0.1091089,id _21
-2.53,12.228,0.064,0.001,3rd,21,9,0.160838359,-0.178249509,0.010645788,0.172899843,-0.1195229,-0.4364358,id _21
-4.493,13.718,0.031,0.089,4th,21,16,-0.106025475,0.056823114,0.352720712,-0.182126598,0.1195229,-0.4364358,id _21
-8.745,14.715,0.055,0.008,5th,21,25,-0.226963087,0.248331682,0.043001848,-0.23326808,0.3585686,-0.1091089,id _21
-12.933,7.026,0.002,0.136,6th,21,36,-0.308572728,0.174979261,0.063104205,-0.303125776,0.5976143,0.5455447,id _21
